nombre,descripcion
Administración y Negocios,
Ciencia,Descubrimientos que revelan los secretos del universo.
Ciencia Ficción,
Cocina,Recetas y sabores de todo el mundo.
Economía,
Fantasía Épica,
Filosofía,
Genealogía,
Historia,El pasado que explica quiénes somos.
Ingeniería Informática,
LGTBIQ,Voces que celebran la diversidad y la identidad.
Literatura Clásica,
Literatura Costarricense,Las voces y relatos que dan identidad a Costa Rica.
Español,
Francés,
Inglés,
Literatura Latinoamericana,La riqueza literaria de toda América Latina.
Novela Romántica y Erótica,
Relaciones Internacionales,"Diplomacia, poder y política global."
Salud,Guías y conocimiento para cuidar tu cuerpo y mente.
