id_libro,isbn,titulo,autor,categoria,anio_publicacion,idioma,editorial,unidades,leido,notas
1,9786073198912,¡Salvese quien pueda!,Andres Oppenheimer,Economía,2025,Español,Penguin Randon House Grupo Editorial,1,f,
2,"",¿Democracia en Costa Rica? 5 Opiniones Polémicas,"Chester Zelaya, Oscar Aguilar Bulgarelli, Daniel Camacho, Rodolfo Cerdas, Jacobo Schifter",Relaciones Internacionales,1978,Español,EUNED,1,f,
3,9788413148984,¿Quién Domina el Mundo?,Noam Chomsky,Relaciones Internacionales,2024,Español,Penguin Random House Grupo Editorial,1,t,
4,9781592235926,101 Fantastic Low Carb Recipes,Nicola Graimes,Cocina,2006,Ingles,Thunder Bay Press,1,f,
5,9789977679662,11 de Setiembre del 2001 - Cambios y Retos,Nuria Marin Raventos,Relaciones Internacionales,2008,Español,Editorial UCR,1,f,
6,9977830371,"1492-1992, La Interminable Conquista","Gioconda Belli, et al",Historia,1991,Español,Editorial DEI,1,f,
7,9789807716147,1984,George Orwell,Ciencia Ficción,,Español,lucemar,1,t,
8,Rev-001,50 Recetas Fáciles y Económicas,Revista Sabores,Cocina,2004,Español,Grupo Nacion,1,f,
9,9788419621184,Al otro lado,Mike Lightwood,LGTBIQ,2023,Español,Ediciones SM,1,f,
10,9788408284550,Alas de Hierro,Rebecca Yarros,Fantasía Épica,2024,Español,Editorial Planeta Mexicana,1,t,
11,9786073923163,Alas de Onix,Rebecca Yarros,Fantasía Épica,2025,Español,Editorial Planeta Mexicana,1,t,
12,9788408279990,Alas de Sangre,Rebecca Yarros,Fantasía Épica,2023,Español,Editorial Planeta Mexicana,1,t,
13,9788415618713,Alicia en el País de las Maravillas,Lewis Carroll,Español,2017,Español,Anders Producciones S.L,1,f,
14,,Alma Infantil,Jose Maria Zeledon,Literatura Costarricense,1928,Español,Imprenta Lehmann,1,t,
15,9789977652818,América Latina - Crisis del Estado Clientelista y la Construcción de Repúblicas Ciudadanas,"Miguel Sobrado, Juan Jose Rojas",Relaciones Internacionales,2006,Español,EUNA,1,t,
16,9788426133977,Anna Karenina,Leon Tolstoi,Literatura Clásica,2012,Español,Editorial Juventud,1,f,
17,9789871093670,Apología de Socrates,Platón,Filosofía,2007,Español,Gradifco,1,f,
18,9788418385680,Arsene Lupin - Caballero Ladron,Maurice Leblanc,Literatura Clásica,2022,Español,Editorial Alma,1,f,
19,9788419252883,Asesino de Brujas,Shelby Mahurin,Fantasía Épica,2024,Español,Urano World Spain,1,f,
20,9786078828920,Autoboyography,Christina Lauren,LGTBIQ,2024,Español,VR Editoras,1,f,
21,9788410399044,Black Bird Academy - Amor a la Muerte,Stella Tack,Fantasía Épica,2025,Español,Editorial Inlov,1,t,
22,9788410399013,Black Bird Academy - Muerte a la Oscuridad,Stella Tack,Fantasía Épica,2024,Español,Editorial Inlov,1,t,
23,9788410399037,Black Bird Academy - Temor a la Luz,Stella Tack,Fantasía Épica,2025,Español,Editorial Inlov,1,t,
24,9781728206141,Boyfriend Material,Alexis Hall,LGTBIQ,2020,Ingles,Sourcebooks casablanca,1,t,
25,9788499926551,Brasil - Una Biografía,"Lillia M. Schwarcz, Heloisa M. Starling",Relaciones Internacionales,2016,Español,Penguin Random House Grupo Editorial,1,f,
26,9788419467430,Bravas y Soju,Victor Guez,LGTBIQ,2023,Español,Editorial de Nuevo Extremo S.L,1,t,
27,9789681649890,Breve Historia Contemporánea de Costa Rica,Hector Perez Brignoli,Historia,2002,Español,Fondo de Cultura Economica,1,t,
28,9786078828050,Brothersong - La Canción de los Hermanos,TJ Klune,LGTBIQ,2023,Español,VR Editoras,1,f,
29,9780061561610,"Capitalism, Socialism and Democracy",Joseph A. Schumpeter,Relaciones Internacionales,2008,Español,HarperCollins,1,f,
30,,Celebridades,Carmina Verdejo,Historia,1972,Español,Editorial Ramon Sopena,1,f,
31,9788466341127,Charles Street N.44,Danielle Steel,Novela Romántica y Erótica,2017,Español,Penguin Random House Grupo Editorial,1,t,
32,9788416858354,Chico Conoce a Chico,David Levithan,LGTBIQ,2018,Español,Nocturna Ediciones,1,t,
33,9788408003939,Chomsky Esencial,Noam Chomsky,Relaciones Internacionales,2022,Español,Editorial Planeta,1,f,
34,9786073108409,Choque de Reyes - Cancion de Hielo y Fuego II,George R.R. Martin,Fantasía Épica,2012,Español,Random House Mondadori,1,f,
35,9788410190443,Ciudad Medialuna - Casa de Cielo y Aliento,Sarah J. Mass,Fantasía Épica,2024,Español,Penguin Random Alfaguara,1,t,
36,9788410190603,Ciudad Medialuna - Casa de Llama y Sombra,Sarah J. Mass,Fantasía Épica,2024,Español,Penguin Random Alfaguara,1,t,
37,9788410190108,Ciudad Medialuna - Casa de Tierra y Sangre,Sarah J. Mass,Fantasía Épica,2024,Español,Penguin Random Alfaguara,1,t,
38,Rev-002,Cocina Costarricense,Revista Sabores,Cocina,2003,Español,Grupo Nacion,1,f,
39,9781407584980,Cocina Español,Parragon,Cocina,2009,Español,Parragon Books Ltd,1,t,
40,9781407585055,Cocina Italiana,Parragon,Cocina,2009,Español,Parragon Books Ltd,1,t,
41,9781407584959,Cocina Méxicana,Parragon,Cocina,2009,Español,Parragon Books Ltd,1,t,
42,9781407585000,Cocina Turca,Parragon,Cocina,2009,Español,Parragon Books Ltd,1,t,
43,9789968519038,Cocori,Joaquin Gutierrez,Literatura Costarricense,2019,Español,Editorial Legado,1,t,
44,"",Colección Norberto Castro - Tomo 1,Academia Costarricense de Ciencias Genealogicas,Genealogía,1975,Español,ACCG,1,t,
45,"",Colección Norberto Castro - Tomo 2,Academia Costarricense de Ciencias Genealogicas,Genealogía,1976,Español,ACCG,1,t,
46,"",Colección Norberto Castro - Tomo 3,Academia Costarricense de Ciencias Genealogicas,Genealogía,1978,Español,ACCG,1,t,
47,"",Colección Norberto Castro - Tomo 4,Academia Costarricense de Ciencias Genealogicas,Genealogía,1981,Español,ACCG,1,t,
48,"",Colección Norberto Castro - Tomo 5,Academia Costarricense de Ciencias Genealogicas,Genealogía,1983,Español,ACCG,2,t,
